"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 14, 2016","163.46","163.60","163.69","163.20","619.88K","-0.18%"
"Oct 13, 2016","163.76","163.70","163.96","163.47","667.70K","0.28%"
"Oct 12, 2016","163.30","163.58","163.82","163.15","587.64K","-0.26%"
"Oct 11, 2016","163.72","163.52","163.92","163.40","777.31K","0.18%"
"Oct 10, 2016","163.42","164.05","164.18","163.31","584.65K","-0.30%"
"Oct 07, 2016","163.91","164.25","164.30","163.72","860.60K","-0.16%"
"Oct 06, 2016","164.18","164.38","164.87","164.04","1.07M","-0.03%"
"Oct 05, 2016","164.23","164.84","165.03","164.14","1.02M","-0.65%"
"Oct 04, 2016","165.30","165.41","165.68","164.68","832.83K","-0.06%"
"Oct 03, 2016","165.40","165.69","165.85","165.30","352.83K","-0.18%"
"Sep 30, 2016","165.70","166.09","166.36","165.54","899.08K","-0.02%"
"Sep 29, 2016","165.74","165.72","166.08","165.59","587.02K","-0.25%"
"Sep 28, 2016","166.15","165.97","166.19","165.75","702.97K","0.10%"
"Sep 27, 2016","165.98","165.50","166.27","165.46","764.44K","0.29%"
"Sep 26, 2016","165.50","165.14","165.75","165.08","536.17K","0.28%"
"Sep 23, 2016","165.03","165.08","165.28","164.98","484.48K","-0.11%"
"Sep 22, 2016","165.22","164.32","165.32","164.32","775.79K","0.84%"
"Sep 21, 2016","163.84","163.96","164.37","163.80","583.28K","-0.21%"
"Sep 20, 2016","164.18","163.65","164.29","163.65","547.87K","0.26%"
"Sep 19, 2016","163.75","163.86","164.11","163.63","469.63K","-0.13%"
"Sep 16, 2016","163.96","163.72","164.29","163.57","609.32K","0.29%"
"Sep 15, 2016","163.48","163.44","163.78","163.04","699.46K","-0.03%"
"Sep 14, 2016","163.53","162.93","163.70","162.79","716.08K","0.15%"
"Sep 13, 2016","163.29","163.70","163.93","162.56","757.03K","-0.04%"
"Sep 12, 2016","163.35","163.50","163.69","163.04","833.46K","-0.18%"
"Sep 09, 2016","163.65","164.60","164.62","163.53","898.03K","-2.67%"
"Sep 08, 2016","168.14","168.31","168.37","168.12","28.16K","-0.11%"
"Sep 07, 2016","168.32","168.12","168.42","168.06","272.18K","0.15%"
"Sep 06, 2016","168.06","167.29","168.21","167.15","1.36M","0.48%"
"Sep 05, 2016","167.26","167.22","167.44","167.13","962.97K","0.18%"
"Sep 02, 2016","166.96","167.34","167.70","166.92","906.66K","-0.25%"
"Sep 01, 2016","167.38","167.26","167.48","166.95","928.29K","0.00%"
"Aug 31, 2016","167.38","167.74","167.76","167.25","579.31K","-0.21%"
"Aug 30, 2016","167.73","167.60","167.86","167.37","530.08K","0.10%"
"Aug 29, 2016","167.57","166.96","167.75","166.55","351.01K","-0.08%"
"Aug 26, 2016","167.70","167.49","167.76","166.87","478.78K","0.14%"
"Aug 25, 2016","167.47","167.60","167.64","167.12","455.93K","-0.05%"
"Aug 24, 2016","167.56","167.67","167.73","167.44","401.92K","-0.07%"
"Aug 23, 2016","167.67","167.50","167.84","167.37","476.58K","0.10%"
"Aug 22, 2016","167.50","166.90","167.65","166.85","432.49K","0.32%"
"Aug 19, 2016","166.97","167.46","167.59","166.76","414.31K","-0.29%"
"Aug 18, 2016","167.46","167.24","167.68","167.16","400.11K","0.31%"
"Aug 17, 2016","166.95","166.82","167.31","166.65","458.74K","0.15%"
"Aug 16, 2016","166.70","167.40","167.61","166.66","556.50K","-0.32%"
"Aug 15, 2016","167.24","167.65","167.86","167.17","337.20K","-0.32%"
"Aug 12, 2016","167.78","167.52","167.97","167.40","374.59K","0.07%"
"Aug 11, 2016","167.66","167.87","168.02","167.31","381.89K","-0.11%"
"Aug 10, 2016","167.84","167.60","168.00","167.49","492.78K","0.24%"
"Aug 09, 2016","167.44","167.20","167.57","166.91","438.21K","0.20%"
"Aug 08, 2016","167.10","166.98","167.24","166.76","393.23K","-0.03%"
"Aug 05, 2016","167.15","167.62","167.64","167.05","426.66K","-0.26%"
"Aug 04, 2016","167.59","166.69","167.69","166.56","660.72K","0.57%"
"Aug 03, 2016","166.64","166.54","166.92","166.42","438.84K","0.03%"
"Aug 02, 2016","166.59","167.35","167.40","166.38","688.03K","-0.51%"
"Aug 01, 2016","167.45","167.84","167.85","167.37","365.28K","-0.21%"
"Jul 29, 2016","167.81","167.05","168.00","166.92","603.89K","0.24%"
"Jul 28, 2016","167.41","167.55","167.62","167.12","455.64K","0.03%"
"Jul 27, 2016","167.36","166.54","167.61","166.36","525.25K","0.52%"
"Jul 26, 2016","166.49","166.81","167.03","166.42","495.61K","-0.14%"
"Jul 25, 2016","166.72","166.42","166.80","166.16","403.37K","0.21%"
"Jul 22, 2016","166.37","166.58","166.68","166.01","480.86K","0.12%"
"Jul 21, 2016","166.17","166.31","166.45","165.63","682.34K","-0.09%"
"Jul 20, 2016","166.32","166.56","166.74","166.15","540.75K","-0.10%"
"Jul 19, 2016","166.49","166.57","166.87","166.33","536.13K","0.08%"
"Jul 18, 2016","166.36","166.27","166.67","166.17","463.12K","0.18%"
"Jul 15, 2016","166.06","166.78","166.84","165.95","482.63K","-0.37%"
"Jul 14, 2016","166.67","167.07","167.17","166.26","643.85K","-0.37%"
"Jul 13, 2016","167.29","166.67","167.37","166.62","612.64K","0.38%"
"Jul 12, 2016","166.65","167.43","167.47","166.32","715.77K","-0.55%"
"Jul 11, 2016","167.58","167.85","168.05","167.43","412.67K","-0.13%"
"Jul 08, 2016","167.79","167.72","168.06","167.36","485.66K","0.13%"
"Jul 07, 2016","167.57","167.77","167.79","167.25","556.05K","-0.09%"
"Jul 06, 2016","167.72","167.98","168.13","167.58","612.86K","-0.03%"
"Jul 05, 2016","167.77","167.30","167.99","167.23","500.98K","0.41%"
"Jul 04, 2016","167.08","167.10","167.25","166.72","235.83K","0.07%"
"Jul 01, 2016","166.97","166.33","167.31","166.09","646.63K","-0.09%"
"Jun 30, 2016","167.12","166.70","167.33","165.51","852.13K","0.12%"
"Jun 29, 2016","166.92","166.75","167.12","166.64","522.74K","0.04%"
"Jun 28, 2016","166.86","166.71","166.90","166.27","530.22K","0.10%"
"Jun 27, 2016","166.69","166.05","166.92","166.02","621.56K","0.42%"
"Jun 24, 2016","165.99","168.50","168.86","165.59","881.76K","1.24%"
"Jun 23, 2016","163.95","164.36","164.62","163.52","733.79K","-0.17%"
"Jun 22, 2016","164.23","164.38","164.67","164.17","500.13K","-0.13%"
"Jun 21, 2016","164.44","164.37","164.59","164.08","532.51K","0.12%"
"Jun 20, 2016","164.25","164.58","164.72","164.15","606.94K","-0.38%"
"Jun 17, 2016","164.87","165.06","165.29","164.70","604.69K","-0.35%"
"Jun 16, 2016","165.45","165.54","165.68","165.07","610.97K","0.13%"
